event_date,type,t0,n_c5_bars,c5_full,prior_median_range,c5_median_range
2021-01-27,FOMC,2021-01-27T20:00:00,5,True,14.080000000000837,13.550000000001091
2021-02-05,NFP,2021-02-05T14:30:00,5,True,8.780000000000655,11.020000000000437
2021-03-05,NFP,2021-03-05T14:30:00,5,True,11.015000000000327,29.5
2021-03-17,FOMC,2021-03-17T19:00:00,5,True,6.53400000000056,15.140000000001237
2021-04-28,FOMC,2021-04-28T20:00:00,5,True,3.5750000000007276,7.5
2021-05-07,NFP,2021-05-07T14:30:00,5,True,8.525000000000546,27.530000000000655
2021-06-04,NFP,2021-06-04T14:30:00,5,True,6.569000000000415,15.020000000000437
2021-06-16,FOMC,2021-06-16T20:00:00,5,True,5.0090000000000146,19.63000000000102
2021-07-02,NFP,2021-07-02T14:30:00,5,True,9.069999999999709,20.00799999999981
2021-07-28,FOMC,2021-07-28T20:00:00,5,True,5.590000000001055,10.150000000001455
2021-08-06,NFP,2021-08-06T14:30:00,5,True,5.324999999999818,10.040000000000873
2021-09-03,NFP,2021-09-03T14:30:00,5,True,5.570999999999913,12.652000000000044
2021-09-22,FOMC,2021-09-22T20:00:00,5,True,7.1490000000012515,15.650000000001455
2021-10-08,NFP,2021-10-08T14:30:00,5,True,6.149000000000342,29.469999999999345
2021-11-03,FOMC,2021-11-03T19:00:00,5,True,4.535000000000764,12.018000000000029
2021-11-05,NFP,2021-11-05T13:30:00,5,True,7.819999999999709,15.900000000001455
2021-12-03,NFP,2021-12-03T14:30:00,5,True,13.739999999999782,20.55000000000109
2021-12-15,FOMC,2021-12-15T20:00:00,5,True,7.075000000000728,24.530000000000655
2022-01-07,NFP,2022-01-07T14:30:00,5,True,12.025000000000546,37.51000000000022
2022-01-26,FOMC,2022-01-26T20:00:00,5,True,13.337000000000444,35.530000000000655
2022-02-04,NFP,2022-02-04T14:30:00,5,True,19.590000000000146,42.099999999998545
2022-03-04,NFP,2022-03-04T14:30:00,5,True,29.75,42.48999999999978
2022-03-16,FOMC,2022-03-16T19:00:00,5,True,29.019000000000233,59.030000000000655
2022-04-01,NFP,2022-04-01T14:30:00,5,True,11.041000000001077,16.05000000000109
2022-05-04,FOMC,2022-05-04T20:00:00,5,True,14.845000000001164,33.52000000000044
2022-05-06,NFP,2022-05-06T14:30:00,5,True,19.585000000000036,32.099999999998545
2022-06-03,NFP,2022-06-03T14:30:00,5,True,10.310999999999694,20.04200000000128
2022-06-15,FOMC,2022-06-15T20:00:00,5,True,14.080000000000837,58.530000000000655
2022-07-08,NFP,2022-07-08T14:30:00,5,True,14.790000000000873,43.11999999999898
2022-07-27,FOMC,2022-07-27T20:00:00,5,True,8.12500000000091,28.650000000001455
2022-08-05,NFP,2022-08-05T14:30:00,5,True,7.996000000000095,34.6299999999992
2022-09-02,NFP,2022-09-02T14:30:00,5,True,14.53400000000056,46.97999999999956
2022-09-21,FOMC,2022-09-21T20:00:00,5,True,9.614000000000487,52.14000000000124
2022-10-07,NFP,2022-10-07T14:30:00,5,True,12.3149999999996,41.98199999999997
2022-11-02,FOMC,2022-11-02T19:00:00,5,True,8.87500000000091,25.150000000001455
2022-11-04,NFP,2022-11-04T13:30:00,5,True,13.085000000000036,35.05000000000109
2022-12-02,NFP,2022-12-02T14:30:00,5,True,9.3149999999996,50.030000000000655
2022-12-14,FOMC,2022-12-14T20:00:00,5,True,8.63800000000083,32.13000000000102
2023-01-06,NFP,2023-01-06T14:30:00,5,True,7.760000000000218,30.55000000000109
