symbol,release_date,release_time,side,period
AMBA,2013-12-05,post,long,IS
AMBA,2014-09-04,post,long,IS
AMBA,2015-03-03,post,long,IS
AMBA,2016-06-02,post,long,IS
AMBA,2017-11-30,post,long,OOS
AMBA,2018-11-29,post,long,OOS
AMBA,2019-03-05,post,long,OOS
AMBA,2019-06-04,post,long,OOS
AMBA,2019-08-29,post,long,OOS
AMC,2018-03-01,pre,long,OOS
AMC,2019-02-28,post,long,OOS
AMC,2019-05-09,pre,short,OOS
AMC,2019-08-08,pre,long,OOS
AMCX,2012-11-08,pre,long,IS
AMCX,2013-02-26,pre,short,IS
AMCX,2013-05-09,pre,long,IS
AMCX,2013-11-07,pre,short,IS
AMCX,2014-05-08,pre,short,IS
AMCX,2014-11-06,pre,long,IS
AMCX,2015-02-26,pre,long,IS
AMCX,2015-05-04,pre,long,IS
AMCX,2015-11-05,pre,long,IS
AMCX,2016-11-03,pre,short,IS
AMCX,2017-02-23,pre,long,OOS
AMCX,2018-05-10,pre,long,OOS
AMD,2016-07-21,post,long,IS
AMD,2017-01-31,post,long,OOS
AMD,2017-07-25,post,long,OOS
AMD,2018-04-25,post,long,OOS
AMD,2018-07-25,post,long,OOS
AMD,2019-04-30,post,long,OOS
AME,2014-08-05,pre,long,IS
AME,2016-11-01,pre,long,IS
AME,2018-02-01,pre,long,OOS
AME,2018-11-01,pre,long,OOS
AME,2019-02-05,pre,long,OOS
AMED,2015-07-29,pre,long,IS
AMED,2016-11-03,post,short,IS
AMED,2017-05-02,post,long,OOS
AMED,2018-05-07,post,long,OOS
AMED,2018-07-31,post,long,OOS
AMED,2018-10-29,post,long,OOS
AMG,2013-07-30,pre,long,IS
AMG,2014-04-29,pre,long,IS
AMG,2018-10-29,pre,long,OOS
AMGN,2014-07-29,post,long,IS
AMGN,2015-04-21,post,long,IS
AMGN,2015-07-30,post,long,IS
AMGN,2017-02-02,post,long,OOS
AMGN,2019-07-30,post,long,OOS
AMH,2017-11-02,post,short,OOS
AMH,2018-11-01,post,short,OOS
